NOTE 10184:  Began computing simulation run "Run 1" at time 28¾ÅÔÂ2020, 15:19:15.
WARNING 41596:  Cannot compute observed pool elevation at reservoir "Reservoir-1" because reservoir does not compute elevation.
WARNING 20183:  No search distance for inverse distance precipitation; using default distance 1,000 (KM).
NOTE 20364:  Found no parameter problems in meteorologic model "Met 1".
NOTE 40049:  Found no parameter problems in basin model "NewProj".
NOTE 41743:  Initial abstraction ratio for subbasin "R90W90" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R90W90"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R60W60" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R60W60"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R50W50" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R50W50"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R70W70" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R70W70"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R180W180" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R180W180"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R110W110" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R110W110"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R200W200" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R200W200"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R190W190" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R190W190"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R20W20" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R20W20"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R10W10" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R10W10"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R30W30" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R30W30"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R170W170" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R170W170"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R330W330" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R330W330"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R300W300" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R300W300"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R340W340" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R340W340"; reduce simulation time interval.
NOTE 41743:  Initial abstraction ratio for subbasin "R400W400" is 0.11.
WARNING 41784:  Simulation time interval is greater than 0.29 * lag for subbasin "R400W400"; reduce simulation time interval.
