number	data
1	77.7
2	84.3
3	85.7
4	63.6
5	57.9
6	63.6
7	63
8	58.3
9	68.7
10	94.1
11	79.5
12	72.4
13	74.5
14	81.7
15	97.6
16	107
17	76.4
18	57.7
19	48.9
20	60
21	40.8
22	53
23	49.8
24	78.3
25	74.1
26	88.7
27	87.7
28	62.5
29	70.9
30	72.9
31	72.2
32	59.2
33	76.2
34	49.3
35	55.1
36	69.8
37	62.4
38	62.3
39	60.5
40	72.7
41	74.7
42	63.6
43	61.5
44	55.8
45	62.8
46	72.2
47	75.6
48	72.4
49	52.9
50	47.5
51	38.3
52	59
53	62.9
54	37.9
55	32.8
56	40
57	59.4
58	70.7
59	54.5
60	48.7
61	57.3
62	35.3
63	36.4
64	46.3
65	49.1
66	48.2
67	54.8
68	56
69	51.1
70	28.2
71	18.3
72	19.7
73	24.8
74	33
75	37.2
76	43.9
77	40.4
78	20.4
79	25.9
80	25.9
81	27.6
82	28.2
83	33.3
84	70.3
85	90.8
86	83.5
87	83.6
88	110
89	128
90	107
91	106
92	65.8
93	50.2
94	49.8
95	57.9
96	50.2
97	46.3
98	46.9
99	68.6
100	314
101	376
102	162
103	82.6
104	80.7
105	83.1
106	76.3
107	78.8
108	68.1
109	58.2
110	59.5
111	59.3
112	62
113	54.7
114	63.9
115	63.3
116	63
117	57.8
118	57.4
119	62.7
120	63.3
121	45
122	39.1
123	39.8
124	44.7
125	38.7
126	63.6
127	61.7
128	58.5
129	59.7
130	58.3
131	61.3
132	79.2
133	85.4
134	83.2
135	82.7
136	74.2
137	61.3
138	63.9
139	68.5
140	60.1
141	59.4
142	80.4
143	101
144	108
145	105
146	106
147	98.4
148	94.2
149	95
150	104
151	120
152	108
153	108
154	88.7
155	79.7
156	60.2
157	39.5
158	41.4
159	60.8
160	59.5
161	64
162	56.1
163	52.2
164	52.9
165	69.3
166	55.7
167	49.3
168	144
169	368
170	162
171	94.1
172	108
173	136
174	137
175	153
176	94
177	66.3
178	66.7
179	66.9
180	63.9
181	62.4
182	62.7
183	52
184	50
185	50.6
186	50.2
187	114
188	238
189	254
190	308
191	267
192	192
193	188
194	191
195	196
196	204
197	211
198	203
199	224
200	459
201	397
202	198
203	181
204	202
205	209
206	148
207	113
208	117
209	129
210	139
211	138
212	124
213	125
214	112
215	76.9
216	81
217	620
218	3930
219	1790
220	893
221	683
222	595
223	614
224	853
225	423
226	268
227	292
228	319
229	324
230	316
231	222
232	155
233	201
234	236
235	213
236	208
237	221
238	175
239	164
240	169
241	188
242	186
243	340
244	277
245	250
246	307
247	183
248	192
249	239
250	240
251	235
252	228
253	218
254	218
255	232
256	313
257	279
258	242
259	189
260	179
261	165
262	145
263	151
264	146
265	149
266	143
267	126
268	121
269	134
270	122
271	112
272	112
273	109
274	122
275	133
276	135
277	117
278	106
279	85.6
280	79.6
281	89.6
282	84.5
283	84.5
284	78.9
285	82.8
286	88.6
287	85.3
288	82.6
289	72.1
290	95.3
291	99.5
292	99.7
293	96.8
294	101
295	102
296	118
297	139
298	129
299	130
300	134
301	127
302	132
303	150
304	131
305	92.7
306	90.9
307	85.5
308	88.8
309	81.8
310	75.6
311	90.9
312	97.9
313	105
314	95.3
315	95.1
316	85.9
317	84.9
318	92.1
319	91
320	94.2
321	83.8
322	80.2
323	82.5
324	84.1
325	87.6
326	91.2
327	83.2
328	109
329	101
330	99
331	101
332	102
333	105
334	121
335	115
336	118
337	120
338	119
339	111
340	111
341	91
342	99
343	98.9
344	109
345	99.1
346	92.7
347	88.5
348	99.9
349	90.6
350	87.5
351	84.9
352	86
353	79.8
354	78.4
355	72.6
356	51.3
357	53.6
358	62.3
359	75.5
360	74.7
361	89.7
362	129
363	121
364	84
365	83.3
366	84.8
367	91.5
368	89.6
369	87.3
370	81.5
371	68.5
372	79.4
373	77.2
374	71.1
375	38.8
376	48
377	41.6
378	58.4
379	66.6
380	67.1
381	68.7
382	72.7
383	77.3
384	92.3
385	93.2
386	102
387	108
388	90.6
389	80.5
390	71.4
391	66.6
392	77.1
393	77.8
394	75.5
395	82.3
396	85
