Swat_Edit (Swat Parameters Editor 2012) Version 2.5.3.33454

________________________________________________________________________________________________________________________________________________________________________________________________________


a__maxtemp(){2001001-2010365}.tmp1.tmp 0.5

Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.8'  Original: '16.3'  Old: '16.3' }  |  File: 'tmp1.tmp'  |  Line: '4023'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.3'  Original: '18.8'  Old: '18.8' }  |  File: 'tmp1.tmp'  |  Line: '4023'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '20.7'  Original: '20.2'  Old: '20.2' }  |  File: 'tmp1.tmp'  |  Line: '4024'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.2'  Original: '20.7'  Old: '20.7' }  |  File: 'tmp1.tmp'  |  Line: '4024'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.5'  Original: '16'  Old: '16.0' }  |  File: 'tmp1.tmp'  |  Line: '4025'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.2'  Original: '19.7'  Old: '19.7' }  |  File: 'tmp1.tmp'  |  Line: '4025'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.1'  Original: '13.6'  Old: '13.6' }  |  File: 'tmp1.tmp'  |  Line: '4026'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.5'  Original: '16'  Old: '16.0' }  |  File: 'tmp1.tmp'  |  Line: '4026'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '19.9'  Original: '19.4'  Old: '19.4' }  |  File: 'tmp1.tmp'  |  Line: '4027'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.8'  Original: '23.3'  Old: '23.3' }  |  File: 'tmp1.tmp'  |  Line: '4027'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.2'  Original: '22.7'  Old: '22.7' }  |  File: 'tmp1.tmp'  |  Line: '4028'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '25.0'  Original: '24.5'  Old: '24.5' }  |  File: 'tmp1.tmp'  |  Line: '4028'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '25.7'  Original: '25.2'  Old: '25.2' }  |  File: 'tmp1.tmp'  |  Line: '4029'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '28.5'  Original: '28'  Old: '28.0' }  |  File: 'tmp1.tmp'  |  Line: '4029'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.3'  Original: '17.8'  Old: '17.8' }  |  File: 'tmp1.tmp'  |  Line: '4030'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.3'  Original: '20.8'  Old: '20.8' }  |  File: 'tmp1.tmp'  |  Line: '4030'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.3'  Original: '17.8'  Old: '17.8' }  |  File: 'tmp1.tmp'  |  Line: '4031'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.9'  Original: '23.4'  Old: '23.4' }  |  File: 'tmp1.tmp'  |  Line: '4031'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.3'  Original: '13.8'  Old: '13.8' }  |  File: 'tmp1.tmp'  |  Line: '4032'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.9'  Original: '16.4'  Old: '16.4' }  |  File: 'tmp1.tmp'  |  Line: '4032'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4033'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.1'  Original: '20.6'  Old: '20.6' }  |  File: 'tmp1.tmp'  |  Line: '4033'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.3'  Original: '15.8'  Old: '15.8' }  |  File: 'tmp1.tmp'  |  Line: '4034'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '18.3'  Original: '17.8'  Old: '17.8' }  |  File: 'tmp1.tmp'  |  Line: '4034'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.8'  Original: '17.3'  Old: '17.3' }  |  File: 'tmp1.tmp'  |  Line: '4035'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '22.3'  Original: '21.8'  Old: '21.8' }  |  File: 'tmp1.tmp'  |  Line: '4035'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.7'  Original: '14.2'  Old: '14.2' }  |  File: 'tmp1.tmp'  |  Line: '4036'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '18.0'  Original: '17.5'  Old: '17.5' }  |  File: 'tmp1.tmp'  |  Line: '4036'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '12.7'  Original: '12.2'  Old: '12.2' }  |  File: 'tmp1.tmp'  |  Line: '4037'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '15.4'  Original: '14.9'  Old: '14.9' }  |  File: 'tmp1.tmp'  |  Line: '4037'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.9'  Original: '14.4'  Old: '14.4' }  |  File: 'tmp1.tmp'  |  Line: '4038'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.6'  Original: '16.1'  Old: '16.1' }  |  File: 'tmp1.tmp'  |  Line: '4038'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4039'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.1'  Original: '19.6'  Old: '19.6' }  |  File: 'tmp1.tmp'  |  Line: '4039'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '19.9'  Original: '19.4'  Old: '19.4' }  |  File: 'tmp1.tmp'  |  Line: '4040'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.8'  Original: '20.3'  Old: '20.3' }  |  File: 'tmp1.tmp'  |  Line: '4040'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '22.6'  Original: '22.1'  Old: '22.1' }  |  File: 'tmp1.tmp'  |  Line: '4041'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '24.3'  Original: '23.8'  Old: '23.8' }  |  File: 'tmp1.tmp'  |  Line: '4041'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.5'  Original: '23'  Old: '23.0' }  |  File: 'tmp1.tmp'  |  Line: '4042'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '27.9'  Original: '27.4'  Old: '27.4' }  |  File: 'tmp1.tmp'  |  Line: '4042'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.9'  Original: '17.4'  Old: '17.4' }  |  File: 'tmp1.tmp'  |  Line: '4043'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.5'  Original: '21'  Old: '21.0' }  |  File: 'tmp1.tmp'  |  Line: '4043'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '22.3'  Original: '21.8'  Old: '21.8' }  |  File: 'tmp1.tmp'  |  Line: '4044'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.0'  Original: '22.5'  Old: '22.5' }  |  File: 'tmp1.tmp'  |  Line: '4044'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4045'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.1'  Original: '18.6'  Old: '18.6' }  |  File: 'tmp1.tmp'  |  Line: '4045'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.0'  Original: '15.5'  Old: '15.5' }  |  File: 'tmp1.tmp'  |  Line: '4046'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '17.6'  Original: '17.1'  Old: '17.1' }  |  File: 'tmp1.tmp'  |  Line: '4046'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.2'  Original: '17.7'  Old: '17.7' }  |  File: 'tmp1.tmp'  |  Line: '4047'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '18.9'  Original: '18.4'  Old: '18.4' }  |  File: 'tmp1.tmp'  |  Line: '4047'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '15.0'  Original: '14.5'  Old: '14.5' }  |  File: 'tmp1.tmp'  |  Line: '4048'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.2'  Original: '15.7'  Old: '15.7' }  |  File: 'tmp1.tmp'  |  Line: '4048'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '10.1'  Original: '9.6'  Old: '9.6' }  |  File: 'tmp1.tmp'  |  Line: '4049'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '14.8'  Original: '14.3'  Old: '14.3' }  |  File: 'tmp1.tmp'  |  Line: '4049'
